Total Depth (m),Latitude,Longitude,Elevation,Reference Point,Datum,Start Date,End Date,Operator,Prospect/Field
999.25,-45.23,169.34,159.01,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.44,170.55,380,RL,MSL,"November 11, 1988","November 11, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-37.02,175.55,178.31,RL,MSL,"January 1, 1972","January 1, 1972",CENTRAL PACIFIC MINERALS NZ LTD,"Monowai Reef, Thames"
999.25,-45.22,169.34,161.66,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.33,162.55,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.32,166.64,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,160.68,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.43,170.58,370,RL,MSL,"November 16, 1988","November 16, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.23,169.33,160.72,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.32,160.85,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.35,157.42,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,155.7,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,157.15,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.33,162.49,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-42.65,170.92,60.6,SL,MSL,"March 31, 2010","March 31, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.22,169.32,162.3,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.33,161.87,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,162.16,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,161.32,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.34,162.69,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,158.24,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.33,160.78,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.33,156.11,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,157.86,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,159.05,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.27,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.33,162.32,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,161.31,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.16,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,157.1,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,157.67,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,156.87,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,158.92,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.35,155.5,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,158.17,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.33,163.91,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.33,162.35,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.32,162.3,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.32,165.19,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.31,166.67,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,157.81,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-37.02,175.55,177.39,RL,MSL,"January 1, 1972","January 1, 1972",CENTRAL PACIFIC MINERALS NZ LTD,"Monowai Reef, Thames"
999.25,-45.24,169.34,156.5,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.34,160.66,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,159.89,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.33,156.25,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.34,159.93,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-43.44,169.76,22.7,SL,MSL,"April 22, 2010","April 22, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.23,169.34,159.03,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.34,158.89,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,160.34,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.43,170.58,365,RL,MSL,"November 16, 1988","November 16, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.43,170.57,380,RL,MSL,"November 16, 1988","November 16, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.43,170.57,370,RL,MSL,"November 15, 1988","November 15, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.2,169.31,171.6,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.95,169.01,116.62,RL,MSL,"January 1, 1999","December 31, 1999",L & M MINING LTD,Waikaka
999.25,-45.24,169.34,156.25,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.32,161.07,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.95,169,119.98,RL,MSL,"January 1, 1999","December 31, 1999",L & M MINING LTD,Waikaka
999.25,-45.44,170.56,425,RL,MSL,"November 9, 1988","November 9, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.21,169.34,157.71,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.32,160.07,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.32,162.29,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-43.41,169.77,33.3,SL,MSL,"March 16, 2010","March 16, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.24,169.34,156.76,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,157.33,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.33,161.73,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,158.84,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.33,160.55,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.32,161.27,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-37.02,175.55,193.55,RL,MSL,"January 1, 1972","January 1, 1972",CENTRAL PACIFIC MINERALS NZ LTD,"Monowai Reef, Thames"
999.25,-45.21,169.33,159.86,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.32,165.09,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,156.12,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,159.4,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.33,161.69,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,157.28,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,156.24,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.35,156,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.43,170.57,380,RL,MSL,"November 15, 1988","November 15, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.24,169.34,158.37,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.34,159.63,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.43,170.55,360,RL,MSL,"November 11, 1988","November 11, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.43,170.55,385,RL,MSL,"November 15, 1988","November 15, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.24,169.35,156.61,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,156.85,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.31,164.47,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,156.78,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,158.91,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-42.65,170.92,63.1,SL,MSL,"April 24, 2010","April 24, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.22,169.34,148.25,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,160.75,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.94,169,120.16,RL,MSL,"January 1, 1999","December 31, 1999",L & M MINING LTD,Waikaka
999.25,-45.23,169.33,161.34,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.11,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,158.34,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.34,145.49,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.33,165.16,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.34,154.64,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.34,159.54,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.32,164.66,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.34,156.33,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.32,165.84,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.15,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-42.66,170.89,69.4,SL,MSL,"April 7, 2010","April 7, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.23,169.34,158.9,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,160.47,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.33,164.95,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,158.5,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,147.36,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.09,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,158.37,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.32,162.73,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.32,161.92,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.31,167.08,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.43,170.57,370,RL,MSL,"November 15, 1988","November 15, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-43.4,169.77,35.3,SL,MSL,"March 16, 2010","March 16, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.24,169.35,156.59,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,160.68,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,157.47,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.06,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.2,169.32,167.23,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.35,156.48,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-42.65,170.98,21,SL,MSL,"March 9, 2010","March 9, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.22,169.34,159.9,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,160.71,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.33,164.53,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,160.16,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.32,161.67,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-42.66,170.89,71.5,SL,MSL,"April 7, 2010","April 7, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.23,169.34,159,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,157.25,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,157.99,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,158.21,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.05,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.34,162.52,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.33,160.15,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.32,158.91,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.35,156.24,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.2,169.32,167.31,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.32,161.77,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.32,165.8,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-37.02,175.55,204.22,RL,MSL,"January 1, 1972","January 1, 1972",CENTRAL PACIFIC MINERALS NZ LTD,"Monowai Reef, Thames"
999.25,-45.2,169.32,168,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,157.07,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-43.43,169.76,21.6,SL,MSL,"April 9, 2010","April 9, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.95,169.01,115.5,RL,MSL,"January 1, 1999","December 31, 1999",L & M MINING LTD,Waikaka
999.25,-43.41,169.77,33.5,SL,MSL,"March 12, 2013","March 15, 2013",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.23,169.35,157.48,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,158.25,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,158.2,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,161.91,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.34,154.86,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.32,161.06,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,156.75,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.95,169,119.98,RL,MSL,"January 1, 1999","December 31, 1999",L & M MINING LTD,Waikaka
999.25,-43.37,169.78,89.8,SL,MSL,"April 17, 2010","April 17, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.23,169.34,157.41,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-42.65,170.92,60.9,SL,MSL,"March 31, 2010","March 31, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.43,170.58,370,RL,MSL,"November 16, 1988","November 16, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.23,169.33,161,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,159.88,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,158.21,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,156.73,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.45,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.33,163.99,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.37,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,159.11,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-42.42,170.98,114.9,SL,MSL,"April 23, 2010","April 23, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.23,169.32,159.8,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,159.32,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.34,158.58,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.32,167.64,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,158.72,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,156.33,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-42.66,170.89,71.9,SL,MSL,"April 24, 2010","April 24, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.22,169.33,160.47,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,160.03,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,158.84,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.32,158.67,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.34,162.49,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.43,170.58,365,RL,MSL,"November 16, 1988","November 16, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.25,169.34,151.28,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.24,169.34,157.49,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.33,155.53,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.32,164.64,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.32,160.63,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.32,166.8,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,159.97,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.33,157.91,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-43.4,169.77,34.7,SL,MSL,"March 15, 2010","March 15, 2010",SEAFIELD RESOURCES LIMITED,Offshore Westland
999.25,-45.21,169.32,164.93,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.22,169.34,161.04,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.43,170.58,360,RL,MSL,"November 16, 1988","November 16, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-45.23,169.34,156.16,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,156.6,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.43,170.58,370,RL,MSL,"November 16, 1988","November 16, 1988",BHP GOLD MINES NZ LTD,"Stoneburn, Macraes Flat"
999.25,-37.02,175.54,164.59,RL,MSL,"January 1, 1972","January 1, 1972",CENTRAL PACIFIC MINERALS NZ LTD,"Monowai Reef, Thames"
999.25,-45.22,169.33,160.38,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.21,169.33,165.25,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
999.25,-45.23,169.35,157.61,RL,MSL,"January 1, 1900",,MINTAGO INVESTMENTS LTD,Earnscleugh
