Total Depth (m),Latitude,Longitude,Elevation,Reference Point,Datum,Start Date,End Date,Operator,Prospect/Field
625.85,-42.35,171.3,607.44,RL,MSL,"December 7, 1981","February 26, 1982",SOLID ENERGY NEW ZEALAND LTD,Buller
619.96,-42.46,171.3,35.19,RL,MSL,"May 1, 1932","July 15, 1944",SOLID ENERGY NEW ZEALAND LTD,Buller
616.61,-42.44,171.32,23,RL,MSL,"May 1, 1932","July 15, 1944",SOLID ENERGY NEW ZEALAND LTD,Buller
608,-42.35,171.27,93.97,RL,MSL,"April 10, 1979","September 7, 1979",SOLID ENERGY NEW ZEALAND LTD,Buller
605.94,-42.42,171.33,448.2,RL,MSL,"March 23, 1946","March 30, 1946",SOLID ENERGY NEW ZEALAND LTD,Buller
601.24,-38.76,174.73,30.8,RL,MSL,"March 2, 1981","April 3, 1981",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
599.7,-42.37,171.33,827.96,RL,MSL,"February 1, 1963","August 14, 1969",SOLID ENERGY NEW ZEALAND LTD,Buller
594,-45.95,167.95,194.6,KB,MSL,"January 25, 1986",,MINES DEPARTMENT,Ohai
593.7,-45.95,167.95,328.2,RL,MSL,"February 28, 1985","March 22, 1985",SOLID ENERGY NEW ZEALAND LTD,OHAI
591.55,-42.38,171.33,491.33,RL,MSL,"February 4, 1993","February 18, 1993",SOLID ENERGY NEW ZEALAND LTD,Buller
591.55,-42.38,171.33,491.33,KB,MSL,"January 1, 1993","January 1, 1993",UNKNOWN,Greymouth
576.04,-37.49,175.15,10,RL,MSL,"June 24, 1981","July 17, 1981",SOLID ENERGY NEW ZEALAND LTD,Ohinewai
573,-38.76,174.73,30.8,KB,MSL,"April 4, 1981",,MINES DEPARTMENT,Mokau
571.4,-42.38,171.24,15.46,RL,MSL,"December 7, 1981","February 26, 1982",SOLID ENERGY NEW ZEALAND LTD,Buller
571,-42.38,171.24,15.46,KB,MSL,"January 26, 1982",,MINES DEPARTMENT,Greymouth
559.3,-42.34,171.26,47.35,RL,MSL,"August 28, 1980","October 14, 1980",SOLID ENERGY NEW ZEALAND LTD,Buller
554.74,-42.37,171.34,899.46,RL,MSL,"February 1, 1963","August 14, 1969",SOLID ENERGY NEW ZEALAND LTD,Buller
551,-42.34,171.26,47.35,KB,MSL,"October 11, 1980",,MINES DEPARTMENT,Greymouth
548,-42.36,171.27,144.03,RL,MSL,"August 25, 2011","September 25, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
544.07,-42.38,171.31,324.61,RL,MSL,"May 1, 1932","March 15, 1915",SOLID ENERGY NEW ZEALAND LTD,Buller
541.7,-42.35,171.33,652.08,RL,MSL,"January 22, 2009","January 28, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
539.08,-42.36,171.27,184.91,RL,MSL,"July 19, 2011","August 23, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
537.67,-42.46,171.31,34.63,RL,MSL,"March 23, 1946","March 30, 1946",SOLID ENERGY NEW ZEALAND LTD,Buller
537.06,-42.46,171.31,34.63,RL,MSL,"May 1, 1932","July 15, 1944",SOLID ENERGY NEW ZEALAND LTD,Buller
537,-42.36,171.27,121.04,KB,MSL,"April 29, 1981",,MINES DEPARTMENT,Greymouth
536.45,-42.37,171.34,782.42,RL,MSL,"February 1, 1963","August 14, 1969",SOLID ENERGY NEW ZEALAND LTD,Buller
535.2,-46.25,169.9,148,RL,MSL,"March 16, 2012","April 13, 2012",L&M LIGNITE KAITANGATA LTD,Kaitangata
535,-42.36,171.27,184.82,KB,MSL,"June 24, 1987",,GREYMOUTH COAL LTD,Greymouth
533,-42.36,171.27,151.98,RL,MSL,"July 25, 2011","August 25, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
532.96,-42.37,171.26,85.76,RL,MSL,"April 21, 2010","May 18, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
532,-42.36,171.27,184.82,RL,MSL,"June 12, 1987","June 24, 1987",SOLID ENERGY NEW ZEALAND LTD,Buller
528.8,-42.42,171.3,179.4,RL,MSL,"February 7, 1980","March 20, 1980",SOLID ENERGY NEW ZEALAND LTD,Buller
528,-42.35,171.27,93.97,KB,MSL,"June 27, 1979",,MINES DEPARTMENT,Greymouth
526.8,-42.37,171.26,89.03,RL,MSL,"July 11, 2010","August 18, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
525,-42.42,171.3,179.4,KB,MSL,"April 25, 1980",,MINES DEPARTMENT,Greymouth
523.6,-42.37,171.26,71,RL,MSL,"January 20, 2010","February 15, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
523.3,-42.37,171.26,140.84,RL,MSL,"December 12, 2011","February 8, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
520.4,-42.36,171.27,184.59,RL,MSL,"June 13, 2011","July 18, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
520,-38.09,175.05,352.9,KB,MSL,"July 19, 1982",,MINES DEPARTMENT,Kawhia
519.95,-38.09,175.05,352.9,RL,MSL,"July 2, 1982","June 10, 2010",SOLID ENERGY NEW ZEALAND LTD,Kawhia
518.5,-42.39,171.25,13.78,RL,MSL,"May 2, 1981","June 18, 1981",SOLID ENERGY NEW ZEALAND LTD,Buller
518,-42.39,171.25,13.78,KB,MSL,"June 18, 1981",,MINES DEPARTMENT,Greymouth
517,-42.36,171.34,802.61,RL,MSL,"December 7, 1982","January 14, 1983",SOLID ENERGY NEW ZEALAND LTD,Buller
517,-42.36,171.34,802.61,KB,MSL,"January 14, 1983",,MINES DEPARTMENT,Greymouth
515.8,-42.37,171.26,151.83,RL,MSL,"April 26, 2010","May 12, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
515.8,-42.37,171.26,85.87,RL,MSL,"February 9, 2012","February 29, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
510.2,-42.35,171.26,31.79,RL,MSL,"November 17, 1980","February 5, 1981",SOLID ENERGY NEW ZEALAND LTD,Buller
510,-42.35,171.26,31.79,KB,MSL,"February 5, 1981",,MINES DEPARTMENT,Greymouth
510,-42.37,171.28,394.05,RL,MSL,"February 2, 2001","February 14, 2001",SOLID ENERGY NEW ZEALAND LTD,Buller
509,-41.67,172,408.34,KB,MSL,"March 1, 1985",,MINES DEPARTMENT,Buller
508.65,-41.67,172,408.34,RL,MSL,"February 5, 1985","March 1, 1985",SOLID ENERGY NEW ZEALAND LTD,BLACKBURN
508.2,-42.37,171.26,78.73,RL,MSL,"February 7, 2010","March 31, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
507.1,-42.37,171.28,404.23,RL,MSL,"October 11, 1995","November 10, 2000",SOLID ENERGY NEW ZEALAND LTD,Buller
507.1,-42.37,171.28,366.1,RL,MSL,"October 11, 2000","September 26, 2000",SOLID ENERGY NEW ZEALAND LTD,Buller
507,-46.25,169.93,124.46,RL,MSL,"October 7, 2011","October 29, 2011",L & M COAL SEAM GAS LIMITED,Kaitangata
506,-42.36,171.27,151.8,RL,MSL,"June 21, 2011","July 20, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
505.93,-42.37,171.26,104.15,RL,MSL,"March 22, 2010","April 30, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
505.05,-42.36,171.34,891.84,RL,MSL,"February 1, 1963","August 14, 1969",SOLID ENERGY NEW ZEALAND LTD,Buller
504,-42.36,171.27,143.84,RL,MSL,"September 22, 2011","October 9, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
502.92,-37.25,175.17,999.25,RL,MSL,"March 11, 1953","March 15, 1953",NZ GEOLOGICAL SURVEY,Maramarua
502,-42.37,171.26,149.37,RL,MSL,"February 13, 2012","March 2, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
500.3,-42.37,171.27,146.03,RL,MSL,"March 9, 2012","April 3, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
500.2,-42.34,171.31,598.01,RL,MSL,"March 26, 2012","April 30, 2012",SOLID ENERGY NEW ZEALAND LTD,Greymouth
500.2,-42.34,171.31,598.01,RL,MSL,"March 26, 2012","April 30, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
500.08,-42.36,171.27,105.49,RL,MSL,"October 7, 2011","November 11, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
500,-42.1,171.87,999.25,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Reefton
500,-42.36,171.27,164.04,RL,MSL,"October 10, 2011","November 4, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
500,-42.36,171.27,105.49,RL,MSL,"September 23, 2011","October 6, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
500,-42.37,171.27,170.3,RL,MSL,"December 9, 2011","January 23, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
500,-42.36,171.27,143.98,RL,MSL,"January 10, 2011","February 15, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
500,-42.36,171.26,103.16,RL,MSL,"September 13, 2010","October 26, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
500,-37.5,175.15,7.3,KB,MSL,"October 1, 1976",,UNKNOWN,Huntly
500,-42.36,171.27,164.14,RL,MSL,"November 8, 2011","November 29, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
499.7,-42.36,171.26,156.83,RL,MSL,"December 14, 2011","January 24, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
499.4,-42.35,171.26,100.11,RL,MSL,"July 11, 1987","July 25, 1987",SOLID ENERGY NEW ZEALAND LTD,Buller
499,-42.35,171.26,45.85,KB,MSL,"August 9, 1987",,GREYMOUTH COAL LTD,Greymouth
499,-42.35,171.26,100.11,KB,MSL,"July 24, 1987",,GREYMOUTH COAL LTD,Greymouth
496.5,-42.37,171.26,87.06,RL,MSL,"August 24, 2009","September 16, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
495.1,-42.37,171.31,560.97,RL,MSL,"September 11, 2002","September 20, 2002",SOLID ENERGY NEW ZEALAND LTD,Buller
495,-42.36,171.27,277.96,RL,MSL,"November 13, 2010","December 22, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
494.08,-42.4,171.26,0,RL,MSL,"December 8, 2007","December 20, 2007",SOLID ENERGY NEW ZEALAND LTD,Buller
493.78,-42.36,171.27,126.91,RL,MSL,"August 24, 2011","September 22, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
493.4,-42.35,171.26,45.85,RL,MSL,"July 11, 1987","July 25, 1987",SOLID ENERGY NEW ZEALAND LTD,Buller
492.9,-42.37,171.26,140.8,RL,MSL,"March 1, 2012","March 23, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
490,-42.37,171.26,125.78,RL,MSL,"November 30, 2011","February 13, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
489.07,-38.69,174.75,9.7,RL,MSL,"January 21, 1981","February 23, 1981",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
489,-42.38,171.27,189.91,KB,MSL,"November 20, 1996",,GREYMOUTH COAL LTD,Greymouth
489,-42.38,171.27,189.91,RL,MSL,"November 9, 1996","November 20, 1996",SOLID ENERGY NEW ZEALAND LTD,Buller
489,-38.69,174.75,9.7,KB,MSL,"February 23, 1981",,MINES DEPARTMENT,Mokau
488.3,-41.67,172.02,319.52,RL,MSL,"March 5, 1985","April 14, 1985",SOLID ENERGY NEW ZEALAND LTD,BLACKBURN
488.1,-42.37,171.25,103.74,RL,MSL,"October 8, 1996","October 28, 1996",SOLID ENERGY NEW ZEALAND LTD,Buller
488,-42.37,171.25,101,KB,MSL,"October 8, 1996",,GREYMOUTH COAL LTD,Greymouth
488,-41.67,172.02,319.5,KB,MSL,"April 13, 1985",,NZCRS,Buller
484.3,-42.37,171.26,71.83,RL,MSL,"February 20, 2010","March 9, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
484.25,-42.38,171.26,92,RL,MSL,"July 15, 1996","August 10, 1996",SOLID ENERGY NEW ZEALAND LTD,Buller
484,-42.37,171.28,366.19,RL,MSL,"January 19, 2001","January 30, 2001",SOLID ENERGY NEW ZEALAND LTD,Buller
484,-42.38,171.26,92,KB,MSL,"August 10, 1996",,GREYMOUTH COAL LTD,Greymouth
483.45,-42.34,171.34,781.47,RL,MSL,"August 14, 2009","September 17, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
483,-42.37,171.26,99.8,KB,MSL,"October 23, 1995",,GREYMOUTH COAL LTD,Greymouth
482.6,-42.37,171.26,99.8,RL,MSL,"November 15, 1995","November 28, 1995",SOLID ENERGY NEW ZEALAND LTD,Buller
482,-42.37,171.27,145.88,RL,MSL,"November 17, 2010","January 14, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
482,-42.37,171.27,195,KB,MSL,"November 6, 1996",,GREYMOUTH COAL LTD,Greymouth
481.7,-42.37,171.27,195.49,RL,MSL,"October 22, 1996","November 6, 1996",SOLID ENERGY NEW ZEALAND LTD,Buller
481.39,-38.08,175.05,374.3,RL,MSL,"January 31, 1980","June 10, 2010",SOLID ENERGY NEW ZEALAND LTD,Kawhia
480,-38.08,175.05,374.3,KB,MSL,"February 1, 1980",,MINES DEPARTMENT,Kawhia
480,-42.37,171.26,57.84,RL,MSL,"July 5, 2010","August 20, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
478.9,-42.37,171.29,319.32,RL,MSL,"May 13, 1980","July 28, 1980",SOLID ENERGY NEW ZEALAND LTD,Buller
478,-42.35,171.34,855.7,RL,MSL,"January 25, 1983","March 9, 1983",SOLID ENERGY NEW ZEALAND LTD,Buller
478,-42.35,171.34,855.7,KB,MSL,"March 11, 1983",,MINES DEPARTMENT,Greymouth
477.8,-38.8,174.86,399.3,RL,MSL,"July 9, 1981","August 21, 1981",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
476.9,-42.37,171.27,185.11,RL,MSL,"May 6, 1981","July 31, 1981",SOLID ENERGY NEW ZEALAND LTD,Buller
476.9,-42.1,171.89,268.79,RL,MSL,"January 19, 2005","January 20, 2005",SOLID ENERGY NEW ZEALAND LTD,Reefton
476.1,-42.36,171.26,166.08,RL,MSL,"April 28, 2010","May 30, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
475.85,-37.48,175.09,27.78,RL,MSL,"July 1, 2005","July 29, 2005",SOLID ENERGY NEW ZEALAND LTD,Huntly
475.4,-42.36,171.27,160.53,RL,MSL,"June 28, 1987","July 6, 1987",SOLID ENERGY NEW ZEALAND LTD,Buller
475,-37.45,175.12,6.6,KB,MSL,"September 21, 1974",,MINES DEPARTMENT MINISTRY OF ENERGY,Huntly
475,-42.36,171.27,160.53,KB,MSL,"July 6, 1987",,GREYMOUTH COAL LTD,Greymouth
473,-38.81,174.85,401,RL,MSL,"July 29, 2009","August 7, 2009",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
472.8,-42.37,171.26,78.6,RL,MSL,"August 19, 2010","September 16, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
470.5,-42.39,171.26,30.58,RL,MSL,"November 6, 2004","November 19, 2004",SOLID ENERGY NEW ZEALAND LTD,Greymouth
470.5,-42.39,171.26,30.58,RL,MSL,"November 6, 2004","February 22, 2005",SOLID ENERGY NEW ZEALAND LTD,Buller
470.04,-37.5,175.12,11.88,RL,MSL,"July 25, 2005","August 17, 2005",SOLID ENERGY NEW ZEALAND LTD,Huntly
469.5,-42.34,171.27,28.34,RL,MSL,"September 12, 1979","October 20, 1979",SOLID ENERGY NEW ZEALAND LTD,Buller
469,-42.34,171.27,28.34,KB,MSL,"October 20, 1979",,MINES DEPARTMENT,Greymouth
467.6,-42.37,171.26,79.01,RL,MSL,"June 28, 2010","August 3, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
467.15,-45.96,167.96,267.1,RL,MSL,"May 19, 1950","May 19, 1950",SOLID ENERGY NEW ZEALAND LTD,OHAI
467,-45.96,167.96,133.5,KB,MSL,"May 13, 1986",,LIME & MARBLE LTD,Ohai
466,-42.37,171.29,319.32,KB,MSL,"July 25, 1980",,MINES DEPARTMENT,Greymouth
464.7,-42.37,171.29,177.76,RL,MSL,"September 3, 2000","September 15, 2000",SOLID ENERGY NEW ZEALAND LTD,Buller
464.4,-38.93,174.95,178.9,RL,MSL,"November 4, 1985","December 5, 1985",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
464,-38.8,174.86,399.3,KB,MSL,"August 24, 1981",,MINES DEPARTMENT,Tangarakau-Ohura
463.9,-42.37,171.26,151.98,RL,MSL,"May 13, 2010","June 12, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
463,-37.54,175.12,10.88,RL,MSL,"January 1, 1973","January 1, 1973",NZ GEOLOGICAL SURVEY,Huntly
461.48,-38.07,175.12,160.68,RL,MSL,"July 28, 1981","June 10, 2010",SOLID ENERGY NEW ZEALAND LTD,Kawhia
461,-38.07,175.12,160.68,KB,MSL,"July 1, 1981",,STATE COAL MINES,Tihiroa
460.85,-42.36,171.26,156.8,RL,MSL,"November 25, 2011","December 20, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
460,-45.94,167.93,197.28,KB,MSL,"April 3, 1985",,STATE COAL MINES,Ohai
459.56,-42.46,171.3,23.93,RL,MSL,"May 1, 1932","July 15, 1944",SOLID ENERGY NEW ZEALAND LTD,Buller
458.14,-42.37,171.26,60.45,RL,MSL,"November 11, 2008","December 13, 2008",SOLID ENERGY NEW ZEALAND LTD,Buller
458,-42.37,171.26,74.74,RL,MSL,"December 4, 2009","December 13, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
458,-42.39,171.26,29.5,KB,MSL,"June 21, 1996",,GREYMOUTH COAL LTD,Greymouth
457.7,-42.17,171.98,883,RL,MSL,"May 24, 2011","May 31, 2011",FRANCIS MINING COMPANY LTD,Garvey Creek
457.5,-42.39,171.26,29.5,RL,MSL,"June 5, 1996","June 21, 1996",SOLID ENERGY NEW ZEALAND LTD,Buller
457,-45.96,167.99,146.5,KB,MSL,"February 12, 1986",,MINES DEPARTMENT,Ohai
457,-45.95,167.96,280.1,RL,MSL,"February 28, 1985","March 22, 1985",SOLID ENERGY NEW ZEALAND LTD,OHAI
456.6,-42.17,171.97,774.5,RL,MSL,"July 7, 2010","September 7, 2010",FRANCIS MINING COMPANY LTD,Garvey Creek
456.31,-37.49,175.09,10,RL,MSL,"March 28, 2007","April 4, 2007",SOLID ENERGY NEW ZEALAND LTD,Huntly
455.67,-37.48,175.09,15,RL,MSL,"September 19, 2006","September 24, 2006",SOLID ENERGY NEW ZEALAND LTD,Huntly
455.17,-37.5,175.11,6.5,RL,MSL,"April 6, 2011","April 6, 2011",SOLID ENERGY NEW ZEALAND LTD,Huntly
455,-42.37,171.25,101.92,RL,MSL,"October 3, 2011","October 23, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
452.3,-42.37,171.26,90.34,RL,MSL,"October 2, 2009","October 21, 2009",SOLID ENERGY NEW ZEALAND LTD,Buller
451.8,-42.37,171.26,160.52,RL,MSL,"March 18, 2010","April 20, 2010",SOLID ENERGY NEW ZEALAND LTD,Buller
451.78,-42.37,171.25,101.98,RL,MSL,"October 24, 2011","November 24, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
451.7,-42.37,171.26,85.8,RL,MSL,"May 5, 2011","June 20, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
451.6,-42.37,171.27,190.51,RL,MSL,"November 8, 2007","December 3, 2007",SOLID ENERGY NEW ZEALAND LTD,Buller
450.4,-42.37,171.25,84.42,RL,MSL,"October 8, 2011","November 11, 2011",SOLID ENERGY NEW ZEALAND LTD,Buller
