Total Depth (m),Title,Purpose,Latitude,Longitude,EPSG,Elevation,Reference Point,Datum,UWI,Result,Start Date,End Date,Operator
"5,208.00",Mangahewa-12,production,-39.05,174.31,"4,326",144.53,DF,MSL,100000763255,gas,"March 16, 2013","May 9, 2013",TODD TARANAKI LIMITED
"5,205.00",Goss-A1 ST2,exploration,-39.38,174.36,"4,326",235.9,RT,MSL,100000569976,gas shows,"November 20, 2005","June 30, 2006",SWIFT ENERGY NEW ZEALAND LTD
"5,192.00",Mangahewa-16,production,-39.08,174.28,"4,326",69.56,RT,MSL,100000790943,gas/condensate,"February 11, 2014","March 30, 2014",TODD TARANAKI LIMITED
"5,155.00",Turangi-8,production,-39,174.31,"4,326",45.3,DF,MSL,100000870542,gas/cond,"September 1, 2019","October 14, 2019",GREYMOUTH PETROLEUM LTD
"5,139.00",Mangahewa-5,appraisal,-39.07,174.32,"4,326",132.68,DF,MSL,100000755279,shows,"March 14, 2012","May 6, 2012",TODD PETROLEUM MINING LTD
"5,134.00",POB-04A,production,-38.91,174.27,"4,326",43.18,DF,MSL,100000787545,gas/condensate,"August 8, 2007","September 11, 2007",SHELL EXPLORATION NEW ZEALAND LTD
"5,117.00",Mangahewa-6,production,-39.05,174.31,"4,326",145.5,RT,MSL,100000669406,shows,"October 10, 2009","November 27, 2009",TODD TARANAKI LIMITED
"5,114.00",Kaimiro-2 ST1,appraisal,-39.16,174.15,"4,326",260.48,DF,AMSL,100000712755,oil,"September 30, 2010","December 18, 2010",GREYMOUTH PETROLEUM LTD
"5,087.00",Waihapa-1B,exploration,-39.39,174.37,"4,326",238.7,KB,MSL,100000113336,oil,"July 14, 1985","July 30, 1985",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"5,062.00",Mangahewa-19,production,-39.04,174.32,"4,326",74.16,RT,MSL,100000790946,gas/condensate,"May 2, 2014","September 28, 2014",TODD TARANAKI LIMITED
"5,059.68",Inglewood-1,exploration,-39.21,174.19,"4,326",316.1,KB,MSL,100000021879,water,"January 14, 1963","June 20, 1963",SHELL BP AND TODD OIL SERVICES LTD
"5,050.00",Cardiff-1,exploration,-39.37,174.28,"4,326",314.8,DF,MSL,100000131835,shows,"February 28, 1992","August 21, 1992",SHELL TODD OIL SERVICES LIMITED
"5,032.80",Pohokura South-1B,appraisal,-38.99,174.3,"4,326",38,RT,MSL,100000787662,gas shows,"October 27, 2002","January 5, 2003",SHELL TODD OIL SERVICES LIMITED
"5,027.00",Rimu-A1,exploration,-39.64,174.37,"4,326",87.64,KB,MSL,100000320775,oil/gas,"July 22, 1999","September 28, 1999",SWIFT ENERGY NEW ZEALAND LTD
"5,021.00",Radnor-1B,appraisal,-39.3,174.27,"4,326",349.2,DF,MSL,100000705480,gas/condensate,"October 2, 2009","October 22, 2009",GREYMOUTH PETROLEUM LTD
"4,999.00",Kaimiro-1,exploration,-39.17,174.15,"4,326",265.5,KB,MSL,100000113213,oil shows,"July 8, 1982","October 27, 1982",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"4,975.00",Stratford-1,exploration,-39.3,174.27,"4,326",345,KB,MSL,100000113257,shows,"November 3, 1982","February 17, 1983",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"4,974.80",Waitui-1,exploration,-39.11,174.31,"4,326",161.27,DF,MSL,100000705819,gas shows,"December 29, 2009","February 23, 2010",TODD EXPLORATION LTD
"4,965.00",Mangahewa-18,production,-39.04,174.32,"4,326",74.16,RT,MSL,100000790945,gas/condensate,"April 25, 2014","August 3, 2014",TODD TARANAKI LIMITED
"4,950.00",Radnor-2,appraisal,-39.3,174.27,"4,326",349.1,DF,MSL,100000836871,gas/cond,"November 27, 2017","April 4, 2018",GREYMOUTH PETROLEUM LTD
"4,942.00",Waihapa-1A,exploration,-39.39,174.37,"4,326",238.7,KB,MSL,100000113337,dry,"May 30, 1985","July 7, 1985",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"4,934.00",Cardiff-2A ST1,exploration,-39.37,174.28,"4,326",301.2,RT,MSL,100000533377,oil shows,"October 23, 2004","March 18, 2005",AUSTRAL-PACIFIC ENERGY (NZ) LTD
"4,917.00",Mangahewa-27,production,-39.08,174.32,"4,326",148.76,RT,MSL,100000860808,gas/condensate,"April 3, 2019","April 26, 2019",TODD TARANAKI LIMITED
"4,900.00",Toko-1,exploration,-39.32,174.37,"4,326",206,KB,MSL,100000113340,dry,"November 18, 1978","August 31, 1979",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"4,900.00",Kaimiro-1 ST1,production,-39.17,174.15,"4,326",264.39,RT,MSL,100000856803,shows,"December 16, 2018","January 19, 2019",GREYMOUTH PETROLEUM LTD
"4,898.00",Cardiff-2,exploration,-39.37,174.28,"4,326",301.2,RT,MSL,100000529019,shows,"October 23, 2004","December 25, 2004",AUSTRAL-PACIFIC ENERGY (NZ) LTD
"4,895.00",Pateke-3H ST1,production,-39.38,173.21,"4,326",19.46,RT,MSL,100000591249,oil,"June 26, 2007","July 10, 2007",AUSTRALIAN WORLDWIDE EXPLORATION
"4,875.00",Trapper-A1,exploration,-39.32,174.36,"4,326",224.99,KB,MSL,100000547889,dry,"November 12, 2005","February 10, 2006",SWIFT ENERGY NEW ZEALAND LTD
"4,869.00",POB-05,production,-38.91,174.27,"4,326",43.18,DF,MSL,100000787548,gas/condensate,"December 26, 2007","April 1, 2008",SHELL EXPLORATION NEW ZEALAND LTD
"4,863.00",Cardiff-3 ST1,appraisal,-39.37,174.28,"4,326",303,RF,MSL,100000828961,gas,"December 7, 2013","January 26, 2014",TAG OIL LTD
"4,850.00",POB-04 L2,production,-38.91,174.27,"4,326",43.18,DF,MSL,100000809836,unknown,"September 26, 2007","October 17, 2007",SHELL EXPLORATION NEW ZEALAND LTD
"4,847.00",Terrace-1,exploration,-39,174.18,"4,326",35.69,RT,MSL,100000545837,gas shows,"September 9, 2005","October 15, 2005",TODD POHOKURA LTD
"4,846.00",Matuku-1,exploration,-39.61,173.06,"4,326",23.9,RT,MSL,100000771865,oil shows,"November 30, 2013","February 5, 2014",OMV NEW ZEALAND LIMITED
"4,845.00",Tuihu-1A,exploration,-39.17,174.43,"4,326",127.3,RT,MSL,100000487589,shows,"August 25, 2003","September 25, 2003",SWIFT ENERGY NEW ZEALAND LTD
"4,832.00",Rimu-B3 A,appraisal,-39.66,174.37,"4,326",88.33,RT,MSL,100000389430,oil/gas,"November 6, 2001","December 31, 2001",SWIFT ENERGY NEW ZEALAND LTD
"4,827.90",York-1,exploration,-39.27,174.24,"4,326",361.8,DF,MSL,100000790965,gas shows,"March 23, 2013","June 23, 2013",GREYMOUTH PETROLEUM LTD
"4,825.00",Mangahewa-12 ST1,production,-39.05,174.31,"4,326",143.1,RT,MSL,100000809838,gas,"July 30, 2015","August 12, 2015",TODD TARANAKI LIMITED
"4,822.00",Ariki-1,exploration,-38.2,173.7,"4,326",21.3,DF,MSL,100000113543,gas shows,"December 9, 1983","February 26, 1984",SHELL BP AND TODD OIL SERVICES LTD
"4,818.00",Mangahewa-12 ST2,production,-39.05,174.31,"4,326",143.04,RT,MSL,100000809839,gas,"August 24, 2015","September 20, 2015",TODD TARANAKI LIMITED
"4,809.00",Ohanga-2,appraisal,-39.03,174.35,"4,326",78.2,RT,MSL,100000293155,gas/condensate,"August 7, 1998","November 18, 1998",FLETCHER CHALLENGE ENERGY TARANAKI
"4,803.00",POB-02A,production,-38.91,174.27,"4,326",43.18,DF,MSL,100000681224,gas/condensate,"February 21, 2008","March 14, 2008",SHELL EXPLORATION NEW ZEALAND LTD
"4,800.00",Kauri-A4 ST2,appraisal,-39.7,174.4,"4,326",49.54,RT,MSL,100000787509,dry,"August 26, 2002","September 6, 2002",SWIFT ENERGY NEW ZEALAND LTD
"4,791.00",POB-02,production,-38.91,174.27,"4,326",43.18,DF,MSL,100000613845,unknown,"December 26, 2006","April 6, 2007",SHELL EXPLORATION NEW ZEALAND LTD
"4,790.00",Mangahewa-23,production,-39.08,174.29,"4,326",69.16,RT,MSL,100000801459,gas/condensate,"March 18, 2015","April 22, 2015",TODD TARANAKI LIMITED
"4,788.00",Mangahewa-11,production,-39.05,174.31,"4,326",145.15,DF,MSL,100000755282,gas shows,"December 21, 2011","February 23, 2012",TODD PETROLEUM MINING LTD
"4,777.00",Turangi-2,production,-39.01,174.31,"4,326",54.9,KB,MSL,100000622816,gas shows,"January 14, 2008","April 23, 2008",GREYMOUTH PETROLEUM LTD
"4,773.00",MR5P12,production,-39.99,173.29,"4,326",46.9,RT,MSL,100000644914,oil,"March 10, 2009","March 21, 2009",OMV NEW ZEALAND LIMITED
"4,772.00",Pateke-4H ST2,production,-39.38,173.2,"4,326",23.96,RT,MSL,100000773525,oil,"April 15, 2014","May 18, 2014",AUSTRALIAN WORLDWIDE EXPLORATION
"4,770.00",Kapuni-15,production,-39.43,174.18,"4,326",274.4,DF,MSL,100000127960,shows,"November 4, 1991","January 15, 1992",SHELL TODD OIL SERVICES LIMITED
"4,749.00",MR10P11,production,-39.99,173.29,"4,326",46.9,RT,MSL,100000790933,oil,"April 7, 2014","June 30, 2015",OMV NEW ZEALAND LIMITED
"4,742.00",Clipper-1,exploration,-44.97,171.9,"4,326",26,RT,MSL,100000113551,gas/condensate,"March 27, 1984","June 16, 1984",SHELL BP TODD CANTERBURY SERVICES LTD
"4,730.41",Ruru-3,exploration,-39.66,173.46,"4,326",25.9,DF,MSL,100000795836,gas/condensate,"October 19, 2014","January 18, 2015",SHELL TODD OIL SERVICES LIMITED
"4,727.00",Mangahewa-17,production,-39.04,174.32,"4,326",74.16,RT,MSL,100000790944,gas/condensate,"April 17, 2014","August 30, 2014",TODD TARANAKI LIMITED
"4,725.00",Mangahewa-14 ST1,production,-39.05,174.31,"4,326",142.8,RT,MSL,100000809840,gas,"November 5, 2015","November 30, 2015",TODD TARANAKI LIMITED
"4,724.86",MA-08A,production,-39.55,173.45,"4,326",46.35,DF,MSL,100000791078,gas,"May 10, 2014","June 22, 2014",SHELL TODD OIL SERVICES LIMITED
"4,720.00",Mangahewa-7,production,-39.08,174.29,"4,326",69.57,DF,MSL,100000755097,gas/condensate,"May 30, 2012","July 31, 2012",TODD PETROLEUM MINING LTD
"4,710.00",Te Kiri-1,exploration,-39.37,173.88,"4,326",139.7,KB,MSL,100000113293,dry,"February 20, 1986","June 2, 1986",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"4,702.00",Turangi-7,production,-39.01,174.31,"4,326",53.2,DF,MSL,100000864625,gas/condensate,"May 2, 2019","June 18, 2019",GREYMOUTH PETROLEUM LTD
"4,698.00",Kaimiro-1 ST2,production,-39.17,174.15,"4,326",264.39,RT,MSL,100000856804,gas/cond,"January 29, 2019","February 22, 2019",GREYMOUTH PETROLEUM LTD
"4,696.00",Rimu-A2,appraisal,-39.64,174.37,"4,326",87.6,RT,MSL,100000370331,oil/gas,"December 26, 2000","February 19, 2001",SWIFT ENERGY NEW ZEALAND LTD
"4,665.00",Mangahewa-14,appraisal,-39.05,174.31,"4,326",144.37,RT,MSL,100000790941,gas,"August 18, 2013","October 2, 2013",TODD TARANAKI LIMITED
"4,653.00",Mangahewa-26,production,-39.08,174.32,"4,326",148.76,RT,MSL,100000858659,gas/condensate,"February 23, 2019","March 16, 2019",TODD TARANAKI LIMITED
"4,650.00",Kauri-A4 ST3,appraisal,-39.7,174.4,"4,326",49.54,RT,MSL,100000787510,gas/condensate,"September 12, 2002","October 6, 2002",SWIFT ENERGY NEW ZEALAND LTD
"4,645.50",Mangahewa-3,appraisal,-39.05,174.31,"4,326",143.91,RT,MSL,100000591253,gas shows,"December 14, 2006","March 3, 2007",TODD TARANAKI LIMITED
"4,630.00",Mangahewa-20,production,-39.04,174.32,"4,326",74.16,RT,MSL,100000790947,gas/condensate,"May 18, 2014","October 28, 2014",TODD TARANAKI LIMITED
"4,629.00",Te Kiri North-1,exploration,-39.35,173.9,"4,326",206.94,RT,MSL,100000808402,oil/gas,"December 16, 2015","January 25, 2016",TODD TARANAKI LIMITED
"4,620.00",POB-01,production,-38.91,174.27,"4,326",43.18,DF,MSL,100000580077,gas/condensate,"October 21, 2006","December 24, 2006",SHELL EXPLORATION NEW ZEALAND LTD
"4,619.00",Romney-1,exploration,-37.89,172.73,"4,326",23.2,RT,MSL,100000771876,unknown,"November 26, 2013","January 20, 2014",ANADARKO NZ TARANAKI CO
"4,615.00",Mangahewa-29,production,-39.08,174.32,"4,326",148.76,RT,MSL,100000864919,gas/condensate,"June 27, 2019","July 13, 2019",TODD TARANAKI LIMITED
"4,603.00",POB-03,production,-38.91,174.27,"4,326",43.18,DF,MSL,100000613847,gas/condensate,"April 19, 2007","May 18, 2007",SHELL EXPLORATION NEW ZEALAND LTD
"4,600.00",Turangi-6,production,-39.01,174.31,"4,326",65.9,RT,MSL,100000828964,gas/condensate,"June 11, 2016","August 18, 2016",GREYMOUTH PETROLEUM LTD
"4,576.60",MR6AP2 BR1,production,-39.99,173.29,"4,326",46.94,RT,MSL,100000809837,gas shows,"February 20, 2015","March 18, 2015",OMV NEW ZEALAND LIMITED
"4,565.00",Kowhai-4,production,-39.07,174.27,"4,326",62.9,DF,MSL,100000830042,gas/condensate,"February 23, 2017","April 22, 2017",GREYMOUTH PETROLEUM LTD
"4,565.00",Tui-3H ST1,production,-39.44,173.24,"4,326",24.55,RT,MSL,100000864626,oil shows,"August 21, 2019","August 30, 2019",TAMARIND TARANAKI LIMITED
"4,555.00",Makino-1B,exploration,-39.49,174.42,"4,326",229.97,RT,MSL,100000391109,gas shows,"December 10, 2001","March 13, 2002",MARABELLA ENTERPRISES LTD
"4,551.52",Toroa-1,exploration,-47.44,169.49,"4,326",31.08,KB,MSL,100000022147,shows,"April 7, 1976","September 4, 1976",HUNT INTERNATIONAL PETROLEUM CO NZ
"4,550.00",Kowhai-2,appraisal,-39.04,174.28,"4,326",93.2,DF,MSL,100000787752,gas/condensate,"January 7, 2013","March 14, 2013",GREYMOUTH PETROLEUM LTD
"4,540.00",Mangahewa-25,production,-39.08,174.32,"4,326",148.76,RT,MSL,100000856807,gas/condensate,"January 10, 2019","February 6, 2019",TODD TARANAKI LIMITED
"4,539.00",Tane-1,exploration,-38.94,172.64,"4,326",31.1,DF,MSL,100000022152,dry,"October 9, 1976","December 30, 1976",SHELL BP AND TODD OIL SERVICES LTD
"4,535.00",Rimu-B3,appraisal,-39.66,174.37,"4,326",88.33,RT,MSL,100000383131,shows,"August 20, 2001","October 14, 2001",SWIFT ENERGY NEW ZEALAND LTD
"4,530.00",Tuihu-1,exploration,-39.17,174.43,"4,326",129.2,RT,MSL,100000368209,shows,"October 28, 2000","January 10, 2001",FLETCHER CHALLENGE ENERGY TARANAKI
"4,526.00",Mangahewa-8,production,-39.08,174.29,"4,326",69.57,DF,MSL,100000759101,oil shows,"August 11, 2012","October 5, 2012",TODD PETROLEUM MINING LTD
"4,526.00",Goss-A1 ST1,exploration,-39.38,174.36,"4,326",235.9,RT,MSL,100000567342,unknown,"November 20, 2005","June 30, 2006",SWIFT ENERGY NEW ZEALAND LTD
"4,512.00",Mangahewa-22,production,-39.08,174.29,"4,326",69.16,RT,MSL,100000796484,unknown,"November 16, 2014","January 26, 2015",TODD TARANAKI LIMITED
"4,501.00",Stratford-1A,appraisal,-39.3,174.27,"4,326",344.4,KB,MSL,100000113256,gas/condensate,"October 24, 1990","June 7, 1991",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"4,500.00",Huinga-1B ST1,exploration,-39.35,174.42,"4,326",188.07,RT,MSL,100000787624,oil shows,"June 24, 2002","July 31, 2002",MARABELLA ENTERPRISES LTD
"4,500.00",Kauri-A1,exploration,-39.7,174.4,"4,326",49.2,RT,MSL,100000375260,oil/gas,"May 2, 2001","July 20, 2001",SWIFT ENERGY NEW ZEALAND LTD
"4,477.00",Waihapa-1,exploration,-39.39,174.37,"4,326",238.7,KB,MSL,100000113338,shows,"February 23, 1985","May 30, 1985",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"4,465.00",Kowhai-5,production,-39.07,174.27,"4,326",62.89,RT,MSL,100000850267,gas/condensate,"July 30, 2018","September 14, 2018",GREYMOUTH PETROLEUM LTD
"4,456.00",Mangahewa-30,production,-39.08,174.32,"4,326",148.76,RT,MSL,100000866295,gas/condensate,"July 27, 2019","August 11, 2019",TODD TARANAKI LIMITED
"4,451.60",New Plymouth-2,appraisal,-39.07,174.04,"4,326",46.6,DF,MSL,100000021884,shows,"March 9, 1965","October 4, 1965",SHELL BP AND TODD OIL SERVICES LTD
"4,442.00",Cardiff-3,appraisal,-39.37,174.28,"4,326",303,DF,MSL,100000769793,oil/gas,"September 3, 2013","January 26, 2014",TAG OIL LTD
"4,435.00",Kowhai-3,production,-39.04,174.29,"4,326",89.5,DF,MSL,100000787753,gas/condensate,"November 9, 2013","December 23, 2013",GREYMOUTH PETROLEUM LTD
"4,416.00",Tara-1,exploration,-47.32,169.17,"4,326",31.09,KB,MSL,100000022155,gas/condensate,"May 8, 1978","August 2, 1978",HUNT INTERNATIONAL PETROLEUM CO NZ
"4,407.00",MA-06A,production,-39.55,173.45,"4,326",46.35,DF,MSL,100000790954,gas,"July 17, 2014","August 24, 2014",SHELL TODD OIL SERVICES LIMITED
"4,402.00",MB-S(12),production,-39.65,173.32,"4,326",39.41,RT,MSL,100000502173,oil/gas,"November 28, 1992","January 5, 1993",SHELL TODD OIL SERVICES LIMITED
"4,395.00",Radnor-1A,appraisal,-39.3,174.27,"4,326",352,RT,MSL,100000573742,gas/condensate,"August 2, 2006","August 27, 2006",BRIDGE PETROLEUM LIMITED
"4,376.00",Mangahewa-2,exploration,-39.07,174.32,"4,326",131.3,RT,MSL,100000223578,gas/condensate,"December 15, 1996","February 10, 1997",FLETCHER CHALLENGE ENERGY TARANAKI
"4,373.00",Huinga-1B,exploration,-39.35,174.42,"4,326",188.07,RT,MSL,100000431937,unknown,"April 14, 2002","June 12, 2002",MARABELLA ENTERPRISES LTD
"4,372.00",Kowhai-6,production,-39.07,174.27,"4,326",62.89,RT,MSL,100000856805,gas/condensate,"September 26, 2018","November 9, 2018",GREYMOUTH PETROLEUM LTD
"4,359.00",Tipoka-1A,exploration,-39.32,173.77,"4,326",26.47,KB,MSL,100000113297,shows,"August 2, 1986","October 21, 1986",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"4,358.60",Radnor-1,appraisal,-39.3,174.27,"4,326",350.5,RT,MSL,100000516272,gas/condensate,"August 2, 2004","September 12, 2004",BRIDGE PETROLEUM LIMITED
"4,351.50",Rere-1,exploration,-38.51,177.57,"4,326",480,KB,MSL,100000113571,dry,"August 28, 1985","April 4, 1986",PETROLEUM CORPORATION OF NZ EXPL.  LTD
"4,350.00",Rimu-B1,appraisal,-39.66,174.37,"4,326",88.86,RT,MSL,100000362143,oil/gas,"July 18, 2000","September 16, 2000",SWIFT ENERGY NEW ZEALAND LTD
"4,349.00",Mangahewa-4,appraisal,-39.08,174.29,"4,326",69.9,DF,MSL,100000667054,gas/condensate,"August 1, 2009","September 8, 2009",TODD TARANAKI LIMITED
"4,340.00",Turangi-4,appraisal,-39,174.31,"4,326",45.36,DF,MSL,100000755280,gas,"August 10, 2011","September 26, 2011",GREYMOUTH PETROLEUM LTD
"4,323.00",MR4P9BR3,production,-39.99,173.29,"4,326",49.2,RT,MSL,100000787772,oil,"December 12, 2008","February 23, 2009",OMV NEW ZEALAND LIMITED
"4,321.00",Kauri-A4 ST1,appraisal,-39.7,174.4,"4,326",49.54,RT,MSL,100000787508,dry,"August 2, 2002","August 16, 2002",SWIFT ENERGY NEW ZEALAND LTD
"4,300.00",Kowhai-A1,exploration,-39.06,174.28,"4,326",120.9,KB,MSL,100000573891,shows,"July 23, 2006","September 25, 2006",SWIFT ENERGY NEW ZEALAND LTD
"4,293.00",Ngatoro South-1,exploration,-39.22,174.23,"4,326",291.95,DF,MSL,100000828962,shows,"December 12, 2016","January 20, 2017",GREYMOUTH PETROLEUM LTD
"4,285.20",Mangahewa-1,exploration,-39.07,174.31,"4,326",177.7,DF,MSL,100000021876,shows,"November 1, 1960","October 2, 1961",SHELL BP AND TODD OIL SERVICES LTD
"4,280.30",Kohatukai-1,exploration,-39.1,174.13,"4,326",101,RT,MSL,100000849372,shows,"September 24, 2018","November 22, 2018",AWE HOLDINGS NZ LTD
"4,250.00",Taranga-1,exploration,-38.97,173.27,"4,326",24.5,DF,MSL,100000131836,dry,"April 6, 1992","June 18, 1992",SHELL TODD OIL SERVICES LIMITED
"4,249.50",Okoki-1,exploration,-38.93,174.2,"4,326",31.4,RT,MSL,100000113526,dry,"March 10, 1989","May 7, 1989",TCPL RESOURCES LTD
"4,248.00",Mangahewa-13,production,-39.05,174.31,"4,326",144.53,RT,MSL,100000790940,gas,"May 12, 2013","June 16, 2013",TODD TARANAKI LIMITED
"4,238.00",Kiwi-1,appraisal,-39.43,173.15,"4,326",25,KB,MSL,100000517073,dry,"August 22, 2004","September 2, 2004",NEW ZEALAND OVERSEAS PETROLEUM LTD
"4,234.00",MR1P7-BR1,production,-39.99,173.29,"4,326",46.9,RT,MSL,100000790934,oil,"June 8, 2009","June 10, 2009",OMV NEW ZEALAND LIMITED
"4,234.00",Pohokura-1,exploration,-38.95,174.29,"4,326",28.89,RT,MSL,100000353040,gas/condensate,"February 5, 2000","March 21, 2000",FLETCHER CHALLENGE ENERGY TARANAKI
"4,229.00",Witiora-1,exploration,-39.11,173.48,"4,326",26,KB,MSL,100000113530,dry,"February 17, 1984","March 21, 1984",NEW ZEALAND OIL AND GAS LTD (NZOG)
"4,220.00",MR7AP5 ST1,production,-39.99,173.29,"4,326",46.94,KB,MSL,100000801588,oil,"March 25, 2015","May 14, 2015",OMV NEW ZEALAND LIMITED
"4,201.00",Kapuni-14,appraisal,-39.45,174.17,"4,326",233.9,DF,MSL,100000022135,gas,"October 4, 1987","December 14, 1987",SHELL BP AND TODD OIL SERVICES LTD
"4,195.00",Taimana-1,exploration,-38.86,173.54,"4,326",26,KB,MSL,100000113544,dry,"December 15, 1983","January 17, 1984",DIAMOND SHAMROCK EXPL. OIL CO (NZ)
"4,194.00",Kapuni-2,production,-39.49,174.17,"4,326",157,DF,MSL,100000021910,discovery,"November 9, 1961","March 29, 1962",SHELL BP AND TODD OIL SERVICES LTD
"4,190.00",Pukeko-1,appraisal,-39.92,172.94,"4,326",25,KB,MSL,100000502205,oil shows,"April 29, 2004","May 26, 2004",NEW ZEALAND OVERSEAS PETROLEUM LTD
"4,186.00",MB-W(2),production,-39.65,173.32,"4,326",39.42,RT,MSL,100000502180,gas,"March 24, 1993","August 1, 1993",SHELL TODD OIL SERVICES LIMITED
"4,186.00",Takapou-1,exploration,-39.23,173.16,"4,326",25,RT,MSL,100000505569,shows,"June 8, 2004","July 8, 2004",SHELL TODD OIL SERVICES LIMITED
"4,181.00",Te Kiri-2,exploration,-39.38,173.86,"4,326",111.3,DF,MSL,100000578061,gas shows,"October 11, 2006","November 30, 2006",TODD EXPLORATION LTD
"4,161.00",POB-04,production,-38.91,174.27,"4,326",43.18,DF,MSL,100000787546,unknown,"July 4, 2007","August 4, 2007",SHELL EXPLORATION NEW ZEALAND LTD
"4,154.00",Tangaroa-1,exploration,-38.18,173.87,"4,326",11.3,DF,MSL,100000113542,dry,"December 29, 1980","April 8, 1981",SHELL BP AND TODD OIL SERVICES LTD
"4,154.00",Kapuni-15A,production,-39.43,174.18,"4,326",274.4,DF,MSL,100000528875,gas,"January 21, 1992","February 7, 1992",SHELL TODD OIL SERVICES LIMITED
